text,label
"minor water leak on ground floor, no one trapped",low
"two people injured in scooter crash, minor bleeding",medium
"car overturned on highway, driver unconscious, heavy bleeding",high
"boat sinking near pier, several people in water, children reported",critical
"power outage affecting single building, no injuries",low
"small kitchen fire, extinguished quickly, no injuries",low
"market blaze with smoke and people trapped",critical
"person fainted at bus stop, responsive",medium
"multiple people stuck in elevator, no injuries",medium
"tree fell on car, driver trapped, injured",high
"crowd stampede during event, many injured",critical
"single fall from stairs, minor pain",low
"gas leak reported in apartment block, evacuation ongoing",high
"bicycle collision, one rider scraped, ambulant",medium
"boat stranded but stable, no injuries",medium
"building collapse with people trapped, need heavy rescue",critical
"motorbike hit pole, rider unconscious",high
"person drowning reported near shore, urgent",critical
"traffic pileup with multiple vehicles, many injured",critical
"small cut on hand, bleeding stopped",low
"fire in vehicle, driver escaped, minor burns",high
"person with chest pain, possible cardiac event",high
"child fell into well, appears trapped",critical
"roof leak after storm, no injuries",low
"school playground injury, one child injured",medium
"gas stove explosion in kitchen, burns reported",critical
"power pole downed, sparking, area evacuated",high
"two pedestrians knocked by car, bleeding and pain",high
"elderly person slipped and unconscious",critical
"minor scuffle with small injuries",medium
"multiple people affected by food poisoning, vomiting",high
"person trapped under collapsed wall after quake",critical
"boat taking water, crew safe for now",high
"single person hit head, conscious but dazed",medium
"truck rolled over blocking road, driver injured",high
"small shop fire in alley, extinguished by residents",medium
"flooded basement, no people trapped",low
"large fire in warehouse, many workers missing",critical
"pregnant woman fell and fainted",high
"driver with severe bleeding after accident",critical
"child choking on food, difficulty breathing",critical
"person hit by train, severe trauma",critical
"minor ankle sprain while jogging",low
"carbon monoxide alarm in building, several complaining of headache",high
"boat collision with jetty, multiple injuries",critical
"person trapped in collapsed trench, rescue needed",critical
"small group with heat exhaustion, recovered on scene",medium
"single person stuck on cliff, rescuers en route",high
"sprinkler activated, small fire under control",medium
"large vehicle fire after crash, multiple burn injuries",critical
"person reported unconscious at home, revival uncertain",critical
"two people trapped under rubble, injuries severe",critical
"minor electrical short in shop, no injuries",low
"multi-car pileup on highway, several critical",critical
"man fell from ladder, broken arm",high
"boat capsized with children in water",critical
"chemical odor in factory, workers evacuated",high
"small kitchen smoke, no active flames",low
"person with severe allergic reaction, swelling and breathing trouble",critical
"elderly collapsed in home, responsive to CPR",critical
"roof damage after storm, no casualties",low
"bicycle rider grazed, minor cut",low
"person trapped in vehicle after collision, conscious",high
"gas cylinder exploded in market stall, many injured",critical
"person with heatstroke at marathon event",high
"two workers injured on site, trapped under equipment",critical
"child with fever and collapse, urgent medical attention",high
"person slipped into canal, grabbed by passerby",high
"minor road accident, fender bender, no injuries",low
"structure partially collapsed, people trapped",critical
"small cut on head, needs stitches",medium
"person unconscious in shop, breathing shallow",critical
"roof caved in in one room, family safe",high
"single vehicle off road into ditch, driver fine",low
"heavy smoke from apartment, occupants coughing",high
"person with broken leg after fall",high
"multiple people injured during protest, paramedics needed",critical
"child fell from tree, scraped knees",low
"large crowd exposed to tear gas, many complaining",high
"boat reported sinking in heavy weather, distress call",critical
"person collapsed during sports event, cardiac arrest",critical
"person trapped in machinery, severe trauma",critical
"minor gas leak outside, cordoned by locals",low
"heavy rain causing local flooding, residents on roofs",critical
"person with severe burn after chemical spill",critical
"woman in labor with complications, ambulance required",high
"person feeling dizzy and fainting, stable",medium
"man fell into construction pit, injured",high
"person struck by falling object at construction site",high
"multiple people trapped after bus crash",critical
"single person minor concussion",medium
"fire in apartment stairwell, people evacuated",high
"small boat fire with smoke inhalation",high
"family trapped in house due to fallen tree",high
"man unresponsive in vehicle, suspected overdose",critical
"truck hit power line, live wire exposed",high
"several people faint at concert due to heat",medium
"person bitten by dog, bleeding stopped",medium
"person collapsed while cycling, head injury",high
"flooded roadway, cars stranded but occupants safe",medium
"person with fractured wrist after slip",medium
"motorboat sank, passengers in lifejackets",high
"apartment fire with trapped cat, owner rescued",medium
"elderly fell and broke hip",high
"group suffering hypothermia after being stranded",critical
"small spill of non-toxic liquid, contained",low
"construction collapse with multiple trapped people",critical
"car crash with one fatality, others injured",critical
"two people pulled from lake, breathing",high
"truck fire under bridge, traffic closed",high
"person fell onto tracks, minor injuries",high
"child hit by bicycle, small cuts",low
"possible gas leak with headache complaints",high
"two workers cut by machinery, bleeding",high
"person with severe asthma attack, needs inhaler",high
"roof blown off house, family evacuated",high
"boat engine failure, drifting but safe",medium
"single person conscious but injured after assault",high
"child trapped in locked room, rescued",medium
"power outage and downed lines near market",high
"chemical reaction in lab, one injured",critical
"large landslide burying cars, many trapped",critical
"single person drunk and passed out in street",low
"small shop robbery, no injuries",low
"woman fell in restroom, minor head injury",medium
"truck lost load on highway, people injured",high
"man with serious bleeding after stabbing",critical
"worker fell from scaffold, legs broken",critical
"car fell into river, driver missing",critical
"small brush fire near highway, contained",low
"school bus crash, multiple children injured",critical
"person with severe dehydration, ambulance needed",high
"single person fainted in market, revived",medium
"two people trapped under collapsed balcony",critical
"person hit on bike, unconscious",critical
"child with severe allergic reaction at school",critical
"small electrical fire in home, no injuries",low
"multiple cars stuck in floodwater, no active rescues",medium
"person suffering seizure in crowd",high
"boat collided with rock, hull breached",high
"person with chest pain and diaphoresis",critical
"child burned from hot water, serious",high
"man trapped under fallen tree after storm",critical
"person rescued from well, minor injuries",medium
"power substation fire, area evacuated",critical
"person fell from balcony, severe injuries",critical
"two people rescued from burning building",critical
"small gas leak outside restaurant, staff evacuated",low
"elderly alone, hip fracture, needs transport",high
"multiple people struck by lightning, serious",critical
"person collapsed at workplace, likely heat exhaustion",medium
"man trapped by elevator cable, rescued",medium
"bus hit divider, multiple injuries",high
"woman fainted in mosque during prayers, revived",medium
"chemical spill on roadway, traffic diverted",high
"child hit by car while crossing, urgent",critical
"single person injured during DIY project, lacerations",medium
"small explosion in factory with structural damage",critical
"person stuck in storm drain, rescuers needed",high
"car stalled in river, occupants rescued",high
"person with amputated finger in accident, severe",critical
"motorbike rider hit by car, unconscious",critical
"single person suffering from hypoxia at high altitude",high
"two people trapped in trench collapse",critical
"man collapsed while lifting heavy object, cardiac arrest",critical
"small workshop fire, no injuries",low
"person with deep laceration to arm",high
"person rescued from swift water, stable",high
"heavy smoke in factory causing breathing issues",high
"multiple people injured after stage collapse",critical
"man fell during hiking, leg fracture",high
"car hit pedestrian on sidewalk, serious injury",critical
"person stuck inside collapsed tunnel, rescue ongoing",critical
"boat fire with several injured",critical
"local shop ceiling collapse, one injured",medium
"woman choking on food, aided by bystander",critical
"person hit by falling sign, minor injuries",medium
"several people ill from contaminated water supply",high
"child locked in car, dangerously hot inside",critical
"train derailment with several casualties",critical
"person with suspected stroke, slurred speech",critical
"small chemical leak in warehouse, hazmat called",high
"person injured by crane accident on site",critical
"man trapped under collapsed truck, rescue needed",critical
"child lost in crowd, found safe",low
"person hit by bicycle, minor bruises",low
"apartment flooding after pipe burst, no injuries",medium
"group stranded on mountain trail, hypothermia risk",high
"small puddle, no injuries, water leak near road",low
"two people slipped, minor bruises, bleeding controlled",medium
"car overturned, driver unconscious, heavy bleeding",high
"boat sinking, multiple people in water, children present",critical
"power outage, no injuries, building evacuated",low
"fire in a market, people trapped inside, smoke visible",critical
"single person fall from bike, minor scratch, conscious",medium
"gas leak smell in apartment, possible exposure",high
"roof collapsed household, many injured, urgent",critical
"tree fallen blocking road, no injuries",low
"bus crash with multiple injured, some trapped",critical
"two-car collision, airbags deployed, ambulances needed",high
"elderly fell, suspected fracture, needs ambulance",medium
"small kitchen fire, extinguished by neighbors",low
"child fainted during sports, regained consciousness",medium
"people drowning reported near jetty, immediate rescue",critical
"minor scuffle, one person bleeding, police informed",medium
"roof leak during storm, water entering home, no injuries",low
"chemical spill on factory floor, several affected",high
"large crowd crush, many injured, urgent medical",critical
"motorcycle hit pedestrian, unconscious",high
"small boat stranded, no injuries",medium
"house fire at night, family trapped",critical
"electric pole fire, area evacuated",high
"person fainted inside bus, responsive",medium
"minor cut on hand, bleeding stopped",low
"flooded street, cars stranded, rescue needed",high
"building collapse, multiple floors, trapped victims",critical
"one person choking, Heimlich needed",high
"car stalled on highway, traffic hazard",low
"child fell into pool, pulled out, not breathing",critical
"small protest, no injuries reported",low
"heavy smoke from warehouse, unknown people inside",critical
"elderly person with chest pain, needs ambulance",high
"person slipped on stairs, conscious but in pain",medium
"tree branch hit car, minor damage",low
"multiple people with heatstroke at event",high
"person trapped under collapsed wall, urgent",critical
"leak in LPG cylinder, smell strong",high
"short circuit sparking, no flames yet",high
